지역,기준일,전일대비 확진자수, 격리 해제수
전북,2020-12-09,12,255
충남,2020-12-09,4,777
충북,2020-12-09,24,233
강원,2020-12-09,5,521
경기,2020-12-09,218,6628
세종,2020-12-09,1,90
울산,2020-12-09,14,183
대전,2020-12-09,10,472
광주,2020-12-09,9,642
인천,2020-12-09,48,1272
대구,2020-12-09,3,7015
부산,2020-12-09,20,674
서울,2020-12-09,270,7217
검역,2020-12-08,7,1647
제주,2020-12-08,2,70
경남,2020-12-08,13,500
경북,2020-12-08,5,1617
전남,2020-12-08,7,312
전북,2020-12-08,13,236
충남,2020-12-08,15,766
충북,2020-12-08,10,231
강원,2020-12-08,8,498
경기,2020-12-08,157,6465
세종,2020-12-08,1,88
울산,2020-12-08,61,183
대전,2020-12-08,11,458
광주,2020-12-08,11,634
인천,2020-12-08,25,1249
대구,2020-12-08,4,7013
부산,2020-12-08,27,654
서울,2020-12-08,212,7029
검역,2020-12-07,10,1645
제주,2020-12-07,0,64
경남,2020-12-07,16,479
경북,2020-12-07,9,1610
전남,2020-12-07,3,300
전북,2020-12-07,22,213
충남,2020-12-07,10,761
충북,2020-12-07,11,228
강원,2020-12-07,9,484
경기,2020-12-07,156,6357
세종,2020-12-07,0,88
울산,2020-12-07,38,179
대전,2020-12-07,2,453
광주,2020-12-07,5,615
인천,2020-12-07,40,1221
대구,2020-12-07,5,7011
부산,2020-12-07,35,641
서울,2020-12-07,244,6952
검역,2020-12-06,12,1644
제주,2020-12-06,0,64
경남,2020-12-06,16,470
경북,2020-12-06,11,1608
전남,2020-12-06,8,293
전북,2020-12-06,12,213
충남,2020-12-06,15,747
충북,2020-12-06,14,219
강원,2020-12-06,12,481
경기,2020-12-06,184,6292
세종,2020-12-06,3,86
울산,2020-12-06,3,173
대전,2020-12-06,3,453
광주,2020-12-06,5,614
인천,2020-12-06,42,1207
대구,2020-12-06,3,7011
부산,2020-12-06,34,633
서울,2020-12-06,254,6920
검역,2020-12-05,12,1642
제주,2020-12-05,1,64
경남,2020-12-05,27,465
경북,2020-12-05,17,1603
전남,2020-12-05,4,278
전북,2020-12-05,17,213
충남,2020-12-05,10,738
충북,2020-12-05,18,219
강원,2020-12-05,9,449
경기,2020-12-05,157,6237
세종,2020-12-05,4,86
울산,2020-12-05,1,172
대전,2020-12-05,10,452
광주,2020-12-05,6,602
인천,2020-12-05,19,1172
대구,2020-12-05,7,7011
부산,2020-12-05,29,627
서울,2020-12-05,235,6887
검역,2020-12-04,18,1638
제주,2020-12-04,2,63
경남,2020-12-04,16,454
경북,2020-12-04,9,1594
전남,2020-12-04,3,266
전북,2020-12-04,14,198
충남,2020-12-04,23,728
충북,2020-12-04,5,218
강원,2020-12-04,3,448
경기,2020-12-04,160,6145
세종,2020-12-04,0,86
울산,2020-12-04,5,168
대전,2020-12-04,21,452
광주,2020-12-04,1,602
인천,2020-12-04,17,1149
대구,2020-12-04,6,7008
부산,2020-12-04,31,620
서울,2020-12-04,295,6774
검역,2020-12-03,13,1632
제주,2020-12-03,1,63
경남,2020-12-03,13,444
경북,2020-12-03,11,1590
전남,2020-12-03,2,251
전북,2020-12-03,9,189
충남,2020-12-03,14,715
충북,2020-12-03,10,216
강원,2020-12-03,8,439
경기,2020-12-03,141,6054
세종,2020-12-03,4,85
울산,2020-12-03,2,168
대전,2020-12-03,7,448
광주,2020-12-03,3,596
인천,2020-12-03,22,1120
대구,2020-12-03,3,7006
부산,2020-12-03,15,617
서울,2020-12-03,262,6719
검역,2020-12-02,6,1627
제주,2020-12-02,2,63
경남,2020-12-02,7,421
경북,2020-12-02,5,1582
전남,2020-12-02,1,235
전북,2020-12-02,26,177
충남,2020-12-02,8,700
충북,2020-12-02,16,214
강원,2020-12-02,12,428
경기,2020-12-02,144,6003
세종,2020-12-02,7,85
울산,2020-12-02,10,166
대전,2020-12-02,5,446
광주,2020-12-02,10,586
인천,2020-12-02,23,1103
대구,2020-12-02,4,7002
부산,2020-12-02,32,602
서울,2020-12-02,193,6625
검역,2020-12-01,14,1623
제주,2020-12-01,1,63
경남,2020-12-01,11,400
경북,2020-12-01,11,1575
전남,2020-12-01,2,216
전북,2020-12-01,9,173
충남,2020-12-01,16,686
충북,2020-12-01,32,209
강원,2020-12-01,9,423
경기,2020-12-01,96,5933
세종,2020-12-01,2,85
울산,2020-12-01,3,166
대전,2020-12-01,10,446
광주,2020-12-01,22,576
인천,2020-12-01,16,1090
대구,2020-12-01,11,6999
부산,2020-12-01,31,602
서울,2020-12-01,155,6620
검역,2020-11-30,10,1618
제주,2020-11-30,1,60
경남,2020-11-30,20,388
경북,2020-11-30,4,1560
전남,2020-11-30,4,214
전북,2020-11-30,16,173
충남,2020-11-30,5,667
충북,2020-11-30,22,207
강원,2020-11-30,8,400
경기,2020-11-30,77,5858
세종,2020-11-30,1,84
울산,2020-11-30,3,166
대전,2020-11-30,5,446
광주,2020-11-30,13,568
인천,2020-11-30,34,1084
대구,2020-11-30,4,6998
부산,2020-11-30,52,600
서울,2020-11-30,159,6534
검역,2020-11-29,17,1640
제주,2020-11-29,1,60
경남,2020-11-29,15,380
경북,2020-11-29,11,1552
전남,2020-11-29,20,211
전북,2020-11-29,17,173
충남,2020-11-29,13,662
충북,2020-11-29,22,206
강원,2020-11-29,19,393
경기,2020-11-29,94,5815
세종,2020-11-29,3,83
울산,2020-11-29,0,166
대전,2020-11-29,6,446
광주,2020-11-29,8,564
인천,2020-11-29,21,1068
대구,2020-11-29,3,6998
부산,2020-11-29,22,596
서울,2020-11-29,158,6529
검역,2020-11-28,3,1619
제주,2020-11-28,2,60
경남,2020-11-28,14,376
경북,2020-11-28,5,1547
전남,2020-11-28,7,198
전북,2020-11-28,9,173
충남,2020-11-28,17,654
충북,2020-11-28,24,203
강원,2020-11-28,33,382
경기,2020-11-28,126,5770
세종,2020-11-28,0,83
울산,2020-11-28,3,164
대전,2020-11-28,13,446
광주,2020-11-28,16,562
인천,2020-11-28,25,1066
대구,2020-11-28,1,6996
부산,2020-11-28,28,595
서울,2020-11-28,178,6455
검역,2020-11-27,31,1591
제주,2020-11-27,3,60
경남,2020-11-27,39,371
경북,2020-11-27,3,1540
전남,2020-11-27,11,196
전북,2020-11-27,24,173
충남,2020-11-27,31,643
충북,2020-11-27,20,203
강원,2020-11-27,9,361
경기,2020-11-27,117,5714
세종,2020-11-27,3,83
울산,2020-11-27,7,164
대전,2020-11-27,5,441
광주,2020-11-27,13,550
인천,2020-11-27,25,1062
대구,2020-11-27,0,6993
부산,2020-11-27,24,594
서울,2020-11-27,204,6364
검역,2020-11-26,12,1588
제주,2020-11-26,3,60
경남,2020-11-26,45,368
경북,2020-11-26,2,1538
전남,2020-11-26,9,191
전북,2020-11-26,16,172
충남,2020-11-26,16,639
충북,2020-11-26,8,202
강원,2020-11-26,8,342
경기,2020-11-26,183,5676
세종,2020-11-26,4,82
울산,2020-11-26,7,164
대전,2020-11-26,1,440
광주,2020-11-26,14,543
인천,2020-11-26,19,1060
대구,2020-11-26,1,6991
부산,2020-11-26,22,594
서울,2020-11-26,213,6300
검역,2020-11-25,7,1584
제주,2020-11-25,3,60
경남,2020-11-25,11,364
경북,2020-11-25,3,1538
전남,2020-11-25,8,191
전북,2020-11-25,8,170
충남,2020-11-25,18,632
충북,2020-11-25,3,202
강원,2020-11-25,13,326
경기,2020-11-25,82,5644
세종,2020-11-25,0,82
울산,2020-11-25,3,164
대전,2020-11-25,4,438
광주,2020-11-25,14,533
인천,2020-11-25,40,1059
대구,2020-11-25,5,6991
부산,2020-11-25,18,589
서울,2020-11-25,142,6258
검역,2020-11-25,7,1584
제주,2020-11-25,3,60
경남,2020-11-25,11,364
경북,2020-11-25,3,1538
전남,2020-11-25,8,191
전북,2020-11-25,8,170
충남,2020-11-25,18,632
충북,2020-11-25,3,202
강원,2020-11-25,13,326
경기,2020-11-25,82,5644
세종,2020-11-25,0,82
울산,2020-11-25,3,164
대전,2020-11-25,4,438
광주,2020-11-25,14,533
인천,2020-11-25,40,1059
대구,2020-11-25,5,6991
부산,2020-11-25,18,589
서울,2020-11-25,142,6258
검역,2020-11-24,10,1579
제주,2020-11-24,1,59
경남,2020-11-24,3,360
경북,2020-11-24,9,1538
전남,2020-11-24,7,189
전북,2020-11-24,15,170
충남,2020-11-24,8,620
충북,2020-11-24,3,198
강원,2020-11-24,46,316
경기,2020-11-24,81,5609
세종,2020-11-24,2,82
울산,2020-11-24,2,164
대전,2020-11-24,0,438
광주,2020-11-24,3,531
인천,2020-11-24,17,1057
대구,2020-11-24,3,6990
부산,2020-11-24,6,587
서울,2020-11-24,133,6235
검역,2020-11-23,5,1563
제주,2020-11-23,1,59
경남,2020-11-23,2,355
경북,2020-11-23,4,1537
전남,2020-11-23,5,189
전북,2020-11-23,9,168
충남,2020-11-23,9,617
충북,2020-11-23,0,197
강원,2020-11-23,12,306
경기,2020-11-23,76,5544
세종,2020-11-23,1,82
울산,2020-11-23,1,163
대전,2020-11-23,3,437
광주,2020-11-23,1,526
인천,2020-11-23,23,1054
대구,2020-11-23,2,6987
부산,2020-11-23,5,583
서울,2020-11-23,112,6172
검역,2020-11-22,20,1558
제주,2020-11-22,0,59
경남,2020-11-22,19,350
경북,2020-11-22,6,1537
전남,2020-11-22,13,189
전북,2020-11-22,12,165
충남,2020-11-22,13,609
충북,2020-11-22,0,196
강원,2020-11-22,13,301
경기,2020-11-22,75,5514
세종,2020-11-22,0,82
울산,2020-11-22,1,163
대전,2020-11-22,0,437
광주,2020-11-22,8,514
인천,2020-11-22,27,1052
대구,2020-11-22,1,6986
부산,2020-11-22,1,583
서울,2020-11-22,121,6171
검역,2020-11-21,9,1556
제주,2020-11-21,0,59
경남,2020-11-21,11,342
경북,2020-11-21,8,1535
전남,2020-11-21,19,189
전북,2020-11-21,14,165
충남,2020-11-21,21,598
충북,2020-11-21,1,194
강원,2020-11-21,15,295
경기,2020-11-21,93,5486
세종,2020-11-21,0,82
울산,2020-11-21,1,163
대전,2020-11-21,1,437
광주,2020-11-21,7,514
인천,2020-11-21,22,1051
대구,2020-11-21,1,6983
부산,2020-11-21,7,580
서울,2020-11-21,156,6136
검역,2020-11-20,23,1553
제주,2020-11-20,2,59
경남,2020-11-20,18,336
경북,2020-11-20,10,1534
전남,2020-11-20,14,189
전북,2020-11-20,13,165
충남,2020-11-20,15,590
충북,2020-11-20,2,191
강원,2020-11-20,24,285
경기,2020-11-20,73,5454
세종,2020-11-20,0,82
울산,2020-11-20,0,162
대전,2020-11-20,0,436
광주,2020-11-20,4,513
인천,2020-11-20,30,1047
대구,2020-11-20,1,6981
부산,2020-11-20,2,577
서울,2020-11-20,132,6109
검역,2020-11-19,39,1549
제주,2020-11-19,0,59
경남,2020-11-19,28,334
경북,2020-11-19,8,1533
전남,2020-11-19,28,185
전북,2020-11-19,2,165
충남,2020-11-19,13,580
충북,2020-11-19,4,191
강원,2020-11-19,20,282
경기,2020-11-19,64,5421
세종,2020-11-19,0,82
울산,2020-11-19,0,162
대전,2020-11-19,1,434
광주,2020-11-19,8,511
인천,2020-11-19,12,1043
대구,2020-11-19,2,6979
부산,2020-11-19,5,576
서울,2020-11-19,109,6012
검역,2020-11-18,50,1547
제주,2020-11-18,0,59
경남,2020-11-18,9,322
경북,2020-11-18,16,1533
전남,2020-11-18,15,184
전북,2020-11-18,0,164
충남,2020-11-18,7,569
충북,2020-11-18,0,188
강원,2020-11-18,5,279
경기,2020-11-18,87,5383
세종,2020-11-18,0,82
울산,2020-11-18,3,162
대전,2020-11-18,1,434
광주,2020-11-18,9,511
인천,2020-11-18,12,1040
대구,2020-11-18,2,6975
부산,2020-11-18,5,573
서울,2020-11-18,92,5968
검역,2020-11-17,8,1541
제주,2020-11-17,0,59
경남,2020-11-17,3,318
경북,2020-11-17,3,1532
전남,2020-11-17,16,184
전북,2020-11-17,0,163
충남,2020-11-17,9,559
충북,2020-11-17,0,185
강원,2020-11-17,13,279
경기,2020-11-17,52,5349
세종,2020-11-17,1,82
울산,2020-11-17,0,162
대전,2020-11-17,1,433
광주,2020-11-17,18,510
인천,2020-11-17,13,1038
대구,2020-11-17,3,6975
부산,2020-11-17,0,568
서울,2020-11-17,90,5923
검역,2020-11-16,23,1534
제주,2020-11-16,1,59
경남,2020-11-16,4,317
경북,2020-11-16,14,1532
전남,2020-11-16,10,182
전북,2020-11-16,1,163
충남,2020-11-16,6,552
충북,2020-11-16,3,184
강원,2020-11-16,20,273
경기,2020-11-16,42,5315
세종,2020-11-16,1,82
울산,2020-11-16,0,161
대전,2020-11-16,3,433
광주,2020-11-16,4,510
인천,2020-11-16,10,1038
대구,2020-11-16,0,6971
부산,2020-11-16,0,568
서울,2020-11-16,81,5885
검역,2020-11-15,18,1530
제주,2020-11-15,0,59
경남,2020-11-15,3,317
경북,2020-11-15,2,1531
전남,2020-11-15,9,182
전북,2020-11-15,2,163
충남,2020-11-15,5,538
충북,2020-11-15,8,184
강원,2020-11-15,19,273
경기,2020-11-15,45,5283
세종,2020-11-15,0,82
울산,2020-11-15,0,161
대전,2020-11-15,0,433
광주,2020-11-15,9,510
인천,2020-11-15,2,1035
대구,2020-11-15,1,6969
부산,2020-11-15,0,567
서울,2020-11-15,85,5874
검역,2020-11-14,21,1527
제주,2020-11-14,0,59
경남,2020-11-14,4,315
경북,2020-11-14,0,1529
전남,2020-11-14,13,182
전북,2020-11-14,4,163
충남,2020-11-14,11,537
충북,2020-11-14,0,183
강원,2020-11-14,18,273
경기,2020-11-14,49,5261
세종,2020-11-14,1,82
울산,2020-11-14,0,160
대전,2020-11-14,2,432
광주,2020-11-14,8,510
인천,2020-11-14,1,1035
대구,2020-11-14,0,6969
부산,2020-11-14,4,566
서울,2020-11-14,69,5853
검역,2020-11-13,14,1520
제주,2020-11-13,1,59
경남,2020-11-13,3,313
경북,2020-11-13,0,1528
전남,2020-11-13,9,180
전북,2020-11-13,0,162
충남,2020-11-13,8,535
충북,2020-11-13,1,182
강원,2020-11-13,23,268
경기,2020-11-13,47,5222
세종,2020-11-13,1,82
울산,2020-11-13,0,160
대전,2020-11-13,0,432
광주,2020-11-13,5,510
인천,2020-11-13,4,1032
대구,2020-11-13,1,6963
부산,2020-11-13,0,563
서울,2020-11-13,74,5826
검역,2020-11-12,9,1513
제주,2020-11-12,1,59
경남,2020-11-12,4,312
경북,2020-11-12,1,1527
전남,2020-11-12,8,179
전북,2020-11-12,0,162
충남,2020-11-12,9,531
충북,2020-11-12,1,180
강원,2020-11-12,6,266
경기,2020-11-12,35,5170
세종,2020-11-12,0,82
울산,2020-11-12,1,159
대전,2020-11-12,2,432
광주,2020-11-12,6,510
인천,2020-11-12,2,1022
대구,2020-11-12,3,6962
부산,2020-11-12,2,562
서울,2020-11-12,53,5776
검역,2020-11-11,8,1502
제주,2020-11-11,0,59
경남,2020-11-11,11,312
경북,2020-11-11,0,1525
전남,2020-11-11,1,178
전북,2020-11-11,1,161
충남,2020-11-11,7,523
충북,2020-11-11,2,180
강원,2020-11-11,9,256
경기,2020-11-11,53,5123
세종,2020-11-11,0,82
울산,2020-11-11,0,159
대전,2020-11-11,1,430
광주,2020-11-11,4,507
인천,2020-11-11,1,1017
대구,2020-11-11,0,6957
부산,2020-11-11,3,560
서울,2020-11-11,45,5735
검역,2020-11-10,8,1501
제주,2020-11-10,0,59
경남,2020-11-10,2,312
경북,2020-11-10,1,1524
전남,2020-11-10,2,175
전북,2020-11-10,0,159
충남,2020-11-10,4,523
충북,2020-11-10,2,179
강원,2020-11-10,3,253
경기,2020-11-10,33,5086
세종,2020-11-10,0,79
울산,2020-11-10,0,158
대전,2020-11-10,0,425
광주,2020-11-10,5,507
인천,2020-11-10,3,1008
대구,2020-11-10,1,6953
부산,2020-11-10,1,556
서울,2020-11-10,35,5703
검역,2020-11-09,11,1499
제주,2020-11-09,0,59
경남,2020-11-09,4,304
경북,2020-11-09,1,1522
전남,2020-11-09,2,175
전북,2020-11-09,4,157
충남,2020-11-09,10,520
충북,2020-11-09,4,179
강원,2020-11-09,11,242
경기,2020-11-09,22,5021
세종,2020-11-09,0,79
울산,2020-11-09,0,157
대전,2020-11-09,0,424
광주,2020-11-09,1,507
인천,2020-11-09,2,1005
대구,2020-11-09,6,6952
부산,2020-11-09,2,554
서울,2020-11-09,46,5673
검역,2020-11-08,14,1495
제주,2020-11-08,0,59
경남,2020-11-08,10,301
경북,2020-11-08,2,1522
전남,2020-11-08,4,175
전북,2020-11-08,0,157
충남,2020-11-08,9,516
충북,2020-11-08,2,178
강원,2020-11-08,9,242
경기,2020-11-08,25,5001
세종,2020-11-08,0,79
울산,2020-11-08,1,156
대전,2020-11-08,1,423
광주,2020-11-08,2,507
인천,2020-11-08,3,1003
대구,2020-11-08,7,6950
부산,2020-11-08,0,554
서울,2020-11-08,54,5650
검역,2020-11-07,8,1493
제주,2020-11-07,0,59
경남,2020-11-07,5,301
경북,2020-11-07,0,1520
전남,2020-11-07,0,175
전북,2020-11-07,0,156
충남,2020-11-07,9,515
충북,2020-11-07,0,178
강원,2020-11-07,4,242
경기,2020-11-07,21,4966
세종,2020-11-07,0,79
울산,2020-11-07,0,156
대전,2020-11-07,1,422
광주,2020-11-07,0,507
인천,2020-11-07,1,1002
대구,2020-11-07,1,6949
부산,2020-11-07,2,551
서울,2020-11-07,37,5639
검역,2020-11-06,11,1489
제주,2020-11-06,0,59
경남,2020-11-06,13,301
경북,2020-11-06,1,1520
전남,2020-11-06,0,174
전북,2020-11-06,1,155
충남,2020-11-06,25,512
충북,2020-11-06,0,178
강원,2020-11-06,7,241
경기,2020-11-06,47,4908
세종,2020-11-06,0,79
울산,2020-11-06,0,156
대전,2020-11-06,0,421
광주,2020-11-06,0,504
인천,2020-11-06,0,1000
대구,2020-11-06,0,6949
부산,2020-11-06,0,548
서울,2020-11-06,40,5627
검역,2020-11-05,6,1477
제주,2020-11-05,0,59
경남,2020-11-05,5,301
경북,2020-11-05,0,1520
전남,2020-11-05,0,174
전북,2020-11-05,0,155
충남,2020-11-05,23,510
충북,2020-11-05,2,177
강원,2020-11-05,1,241
경기,2020-11-05,27,4870
세종,2020-11-05,0,78
울산,2020-11-05,0,156
대전,2020-11-05,0,416
광주,2020-11-05,0,504
인천,2020-11-05,5,998
대구,2020-11-05,2,6949
부산,2020-11-05,4,544
서울,2020-11-05,50,5606
검역,2020-11-04,11,1475
제주,2020-11-04,1,59
경남,2020-11-04,0,300
경북,2020-11-04,2,1519
전남,2020-11-04,0,174
전북,2020-11-04,0,154
충남,2020-11-04,10,504
충북,2020-11-04,0,176
강원,2020-11-04,0,234
경기,2020-11-04,43,4830
세종,2020-11-04,0,78
울산,2020-11-04,1,155
대전,2020-11-04,1,415
광주,2020-11-04,0,504
인천,2020-11-04,4,993
대구,2020-11-04,2,6948
부산,2020-11-04,1,526
서울,2020-11-04,42,5572
검역,2020-11-03,12,1472
제주,2020-11-03,0,59
경남,2020-11-03,1,299
경북,2020-11-03,0,1519
전남,2020-11-03,0,174
전북,2020-11-03,0,152
충남,2020-11-03,7,492
충북,2020-11-03,1,176
강원,2020-11-03,1,234
경기,2020-11-03,27,4785
세종,2020-11-03,0,78
울산,2020-11-03,0,155
대전,2020-11-03,0,412
광주,2020-11-03,2,503
인천,2020-11-03,1,991
대구,2020-11-03,0,6944
부산,2020-11-03,1,520
서울,2020-11-03,22,5545
검역,2020-11-02,7,1470
제주,2020-11-02,0,59
경남,2020-11-02,1,299
경북,2020-11-02,1,1517
전남,2020-11-02,2,174
전북,2020-11-02,0,149
충남,2020-11-02,11,490
충북,2020-11-02,2,175
강원,2020-11-02,1,233
경기,2020-11-02,41,4736
세종,2020-11-02,0,78
울산,2020-11-02,1,154
대전,2020-11-02,0,410
광주,2020-11-02,0,500
인천,2020-11-02,2,990
대구,2020-11-02,3,6943
부산,2020-11-02,0,518
서울,2020-11-02,25,5500
검역,2020-11-01,14,1470
제주,2020-11-01,0,59
경남,2020-11-01,2,299
경북,2020-11-01,0,1516
전남,2020-11-01,3,174
전북,2020-11-01,0,149
충남,2020-11-01,9,488
충북,2020-11-01,1,175
강원,2020-11-01,3,233
경기,2020-11-01,38,4712
세종,2020-11-01,0,78
울산,2020-11-01,0,154
대전,2020-11-01,0,409
광주,2020-11-01,3,500
인천,2020-11-01,4,986
대구,2020-11-01,2,6943
부산,2020-11-01,0,516
서울,2020-11-01,45,5496
검역,2020-10-31,25,1467
제주,2020-10-31,0,59
경남,2020-10-31,1,299
경북,2020-10-31,0,1514
전남,2020-10-31,0,174
전북,2020-10-31,0,149
충남,2020-10-31,5,488
충북,2020-10-31,0,175
강원,2020-10-31,0,232
경기,2020-10-31,27,4688
세종,2020-10-31,3,78
울산,2020-10-31,0,153
대전,2020-10-31,0,407
광주,2020-10-31,0,500
인천,2020-10-31,3,986
대구,2020-10-31,9,6943
부산,2020-10-31,2,504
서울,2020-10-31,52,5495
검역,2020-10-30,4,1463
제주,2020-10-30,0,59
경남,2020-10-30,1,299
경북,2020-10-30,0,1513
전남,2020-10-30,1,174
전북,2020-10-30,2,144
충남,2020-10-30,3,488
충북,2020-10-30,2,174
강원,2020-10-30,6,228
경기,2020-10-30,32,4657
세종,2020-10-30,0,78
울산,2020-10-30,2,153
대전,2020-10-30,0,405
광주,2020-10-30,0,500
인천,2020-10-30,3,979
대구,2020-10-30,10,6943
부산,2020-10-30,0,495
서울,2020-10-30,48,5475
검역,2020-10-29,9,1461
제주,2020-10-29,0,59
경남,2020-10-29,0,296
경북,2020-10-29,1,1511
전남,2020-10-29,0,174
전북,2020-10-29,1,144
충남,2020-10-29,1,488
충북,2020-10-29,0,172
강원,2020-10-29,7,228
경기,2020-10-29,58,4638
세종,2020-10-29,0,78
울산,2020-10-29,2,153
대전,2020-10-29,0,401
광주,2020-10-29,2,498
인천,2020-10-29,5,975
대구,2020-10-29,3,6943
부산,2020-10-29,0,487
서울,2020-10-29,36,5462
검역,2020-10-28,2,1456
제주,2020-10-28,0,59
경남,2020-10-28,3,295
경북,2020-10-28,5,1511
전남,2020-10-28,0,174
전북,2020-10-28,3,143
충남,2020-10-28,1,484
충북,2020-10-28,0,169
강원,2020-10-28,14,228
경기,2020-10-28,31,4607
세종,2020-10-28,0,78
울산,2020-10-28,0,153
대전,2020-10-28,7,400
광주,2020-10-28,0,498
인천,2020-10-28,10,959
대구,2020-10-28,2,6942
부산,2020-10-28,0,483
서울,2020-10-28,25,5434
검역,2020-10-27,5,1456
제주,2020-10-27,0,59
경남,2020-10-27,5,294
경북,2020-10-27,0,1511
전남,2020-10-27,3,169
전북,2020-10-27,0,140
충남,2020-10-27,1,484
충북,2020-10-27,1,168
강원,2020-10-27,6,228
경기,2020-10-27,35,4584
세종,2020-10-27,0,78
울산,2020-10-27,0,153
대전,2020-10-27,5,390
광주,2020-10-27,0,497
인천,2020-10-27,2,956
대구,2020-10-27,0,6942
부산,2020-10-27,1,478
서울,2020-10-27,24,5394
검역,2020-10-26,17,1448
제주,2020-10-26,0,59
경남,2020-10-26,3,294
경북,2020-10-26,3,1510
전남,2020-10-26,0,169
전북,2020-10-26,0,139
충남,2020-10-26,1,483
충북,2020-10-26,2,168
강원,2020-10-26,0,224
경기,2020-10-26,67,4563
세종,2020-10-26,1,78
울산,2020-10-26,1,152
대전,2020-10-26,1,385
광주,2020-10-26,0,495
인천,2020-10-26,3,953
대구,2020-10-26,0,6942
부산,2020-10-26,0,475
서울,2020-10-26,20,5368
검역,2020-10-25,9,1448
제주,2020-10-25,0,59
경남,2020-10-25,2,294
경북,2020-10-25,0,1510
전남,2020-10-25,0,169
전북,2020-10-25,0,139
충남,2020-10-25,2,483
충북,2020-10-25,0,168
강원,2020-10-25,0,224
경기,2020-10-25,27,4550
세종,2020-10-25,0,78
울산,2020-10-25,1,152
대전,2020-10-25,1,383
광주,2020-10-25,0,495
인천,2020-10-25,0,950
대구,2020-10-25,1,6942
부산,2020-10-25,1,475
서울,2020-10-25,17,5350
검역,2020-10-24,6,1447
제주,2020-10-24,0,59
경남,2020-10-24,0,294
경북,2020-10-24,0,1509
전남,2020-10-24,2,169
전북,2020-10-24,0,139
충남,2020-10-24,5,483
충북,2020-10-24,0,167
강원,2020-10-24,0,221
경기,2020-10-24,35,4534
세종,2020-10-24,0,78
울산,2020-10-24,0,152
대전,2020-10-24,5,380
광주,2020-10-24,0,495
인천,2020-10-24,2,945
대구,2020-10-24,0,6942
부산,2020-10-24,0,470
서울,2020-10-24,22,5350
검역,2020-10-23,8,1440
제주,2020-10-23,0,59
경남,2020-10-23,0,294
경북,2020-10-23,0,1508
전남,2020-10-23,1,169
전북,2020-10-23,2,138
충남,2020-10-23,4,482
충북,2020-10-23,0,165
강원,2020-10-23,1,220
경기,2020-10-23,103,4490
세종,2020-10-23,0,77
울산,2020-10-23,0,152
대전,2020-10-23,0,377
광주,2020-10-23,6,494
인천,2020-10-23,5,940
대구,2020-10-23,5,6941
부산,2020-10-23,0,467
서울,2020-10-23,20,5304
검역,2020-10-22,9,1439
제주,2020-10-22,0,59
경남,2020-10-22,0,292
경북,2020-10-22,1,1508
전남,2020-10-22,0,168
전북,2020-10-22,2,134
충남,2020-10-22,11,481
충북,2020-10-22,0,164
강원,2020-10-22,2,220
경기,2020-10-22,67,4461
세종,2020-10-22,0,77
울산,2020-10-22,0,152
대전,2020-10-22,0,373
광주,2020-10-22,0,494
인천,2020-10-22,4,937
대구,2020-10-22,2,6941
부산,2020-10-22,5,464
서울,2020-10-22,18,5283
검역,2020-10-21,22,1438
제주,2020-10-21,0,59
경남,2020-10-21,0,292
경북,2020-10-21,2,1507
전남,2020-10-21,1,168
전북,2020-10-21,0,134
충남,2020-10-21,0,479
충북,2020-10-21,1,162
강원,2020-10-21,2,220
경기,2020-10-21,24,4439
세종,2020-10-21,0,76
울산,2020-10-21,1,152
대전,2020-10-21,4,367
광주,2020-10-21,1,493
인천,2020-10-21,6,929
대구,2020-10-21,0,6941
부산,2020-10-21,10,460
서울,2020-10-21,17,5268
검역,2020-10-20,3,1434
제주,2020-10-20,0,59
경남,2020-10-20,1,290
경북,2020-10-20,2,1507
전남,2020-10-20,0,167
전북,2020-10-20,0,132
충남,2020-10-20,2,476
충북,2020-10-20,2,161
강원,2020-10-20,3,220
경기,2020-10-20,28,4405
세종,2020-10-20,0,75
울산,2020-10-20,0,150
대전,2020-10-20,1,366
광주,2020-10-20,0,493
인천,2020-10-20,3,925
대구,2020-10-20,0,6940
부산,2020-10-20,2,449
서울,2020-10-20,11,5217
검역,2020-10-19,12,1434
제주,2020-10-19,0,59
경남,2020-10-19,1,288
경북,2020-10-19,2,1506
전남,2020-10-19,0,167
전북,2020-10-19,1,129
충남,2020-10-19,2,473
충북,2020-10-19,1,161
강원,2020-10-19,1,220
경기,2020-10-19,18,4385
세종,2020-10-19,0,75
울산,2020-10-19,0,149
대전,2020-10-19,2,361
광주,2020-10-19,2,493
인천,2020-10-19,5,920
대구,2020-10-19,0,6938
부산,2020-10-19,15,449
서울,2020-10-19,14,5161
검역,2020-10-19,12,1434
제주,2020-10-19,0,59
경남,2020-10-19,1,288
경북,2020-10-19,2,1506
전남,2020-10-19,0,167
전북,2020-10-19,1,129
충남,2020-10-19,2,473
충북,2020-10-19,1,161
강원,2020-10-19,1,220
경기,2020-10-19,18,4385
세종,2020-10-19,0,75
울산,2020-10-19,0,149
대전,2020-10-19,2,361
광주,2020-10-19,2,493
인천,2020-10-19,5,920
대구,2020-10-19,0,6938
부산,2020-10-19,15,449
서울,2020-10-19,14,5161
검역,2020-10-18,13,1434
제주,2020-10-18,0,59
경남,2020-10-18,0,288
경북,2020-10-18,0,1506
전남,2020-10-18,0,167
전북,2020-10-18,0,128
충남,2020-10-18,0,472
충북,2020-10-18,0,160
강원,2020-10-18,2,220
